queryName	genotypeFinalClade	genotypeCladeBalance	genotypeClosestMemberAlignmentName	genotypeClosestMemberSourceName	genotypeClosestMemberSequenceID	subtypeFinalClade	subtypeCladeBalance	subtypeClosestMemberAlignmentName	subtypeClosestMemberSourceName	subtypeClosestMemberSequenceID
ncbi-hev/AB085986	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085987	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085988	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:92.71%, AL_1b:3.59%, AL_1a:2.60%, AL_1f:0.70%, AL_1e:0.23%, AL_1d:0.17%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085989	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085990	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085991	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:94.98%, AL_1b:2.55%, AL_1a:1.79%, AL_1f:0.44%, AL_1e:0.14%, AL_1d:0.10%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085992	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:94.98%, AL_1b:2.55%, AL_1a:1.79%, AL_1f:0.44%, AL_1e:0.14%, AL_1d:0.10%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085993	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:94.98%, AL_1b:2.55%, AL_1a:1.79%, AL_1f:0.44%, AL_1e:0.14%, AL_1d:0.10%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085994	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:94.98%, AL_1b:2.55%, AL_1a:1.79%, AL_1f:0.44%, AL_1e:0.14%, AL_1d:0.10%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085995	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:94.98%, AL_1b:2.55%, AL_1a:1.79%, AL_1f:0.44%, AL_1e:0.14%, AL_1d:0.10%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085996	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:94.98%, AL_1b:2.55%, AL_1a:1.79%, AL_1f:0.44%, AL_1e:0.14%, AL_1d:0.10%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085997	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:94.98%, AL_1b:2.55%, AL_1a:1.79%, AL_1f:0.44%, AL_1e:0.14%, AL_1d:0.10%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085998	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:94.98%, AL_1b:2.55%, AL_1a:1.79%, AL_1f:0.44%, AL_1e:0.14%, AL_1d:0.10%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085999	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:99.88%, AL_1f:0.05%, AL_1b:0.04%, AL_1c:0.02%, AL_1e:0.00%, AL_1d:0.00%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB086000	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:99.88%, AL_1f:0.05%, AL_1b:0.04%, AL_1c:0.02%, AL_1e:0.00%, AL_1d:0.00%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB088418	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:96.22%, AL_3a:1.32%, AL_3_AB369689:1.20%, AL_3j:0.83%, AL_3i:0.19%, AL_3h:0.13%, AL_3_AB290312:0.12%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB089824	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:87.80%, AL_3j:4.47%, AL_3_AB369689:3.27%, AL_3b:3.20%, AL_3i:0.54%, AL_3h:0.36%, AL_3_AB290312:0.36%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB091394	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:84.67%, AL_3a:5.66%, AL_3_AB369689:5.18%, AL_3j:3.62%, AL_3i:0.86%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB091395	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4c	AL_4c:65.07%, AL_4f:13.35%, AL_4h:10.93%, AL_4g:5.79%, AL_4_AB369688:4.86%	AL_4c	ncbi-hev	AB074915
ncbi-hev/AB093535	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3e	AL_3e:74.57%, AL_3_AB290313:6.96%, AL_3f:10.13%, AL_3_KJ873911:4.18%, AL_3_EU360977:4.15%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094203	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:89.88%, AL_3j:3.80%, AL_3_AB369689:2.90%, AL_3b:2.84%, AL_3i:0.58%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094204	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:89.88%, AL_3j:3.80%, AL_3_AB369689:2.90%, AL_3b:2.84%, AL_3i:0.58%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094205	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:89.88%, AL_3j:3.80%, AL_3_AB369689:2.90%, AL_3b:2.84%, AL_3i:0.58%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094206	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:89.59%, AL_3j:3.91%, AL_3_AB369689:2.98%, AL_3b:2.93%, AL_3i:0.59%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094207	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:85.35%, AL_3j:5.60%, AL_3_AB369689:4.19%, AL_3b:4.10%, AL_3i:0.76%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094208	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:85.35%, AL_3j:5.60%, AL_3_AB369689:4.19%, AL_3b:4.10%, AL_3i:0.76%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094209	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:88.95%, AL_3j:4.21%, AL_3_AB369689:3.16%, AL_3b:3.10%, AL_3i:0.58%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094210	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:82.67%, AL_3j:6.56%, AL_3_AB369689:4.96%, AL_3b:4.86%, AL_3i:0.94%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094211	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:82.75%, AL_3j:6.56%, AL_3_AB369689:4.94%, AL_3b:4.84%, AL_3i:0.92%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094212	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:89.09%, AL_3j:4.22%, AL_3_AB369689:3.12%, AL_3b:3.05%, AL_3i:0.53%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094213	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:89.09%, AL_3j:4.22%, AL_3_AB369689:3.12%, AL_3b:3.05%, AL_3i:0.53%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094214	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:88.02%, AL_3j:4.52%, AL_3_AB369689:3.43%, AL_3b:3.36%, AL_3i:0.67%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094215	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:78.21%, AL_3j:8.21%, AL_3_AB369689:6.24%, AL_3b:6.12%, AL_3i:1.22%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094216	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3e	AL_3e:98.66%, AL_3_AB290313:0.38%, AL_3f:0.53%, AL_3_KJ873911:0.21%, AL_3_EU360977:0.21%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094217	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:96.67%, AL_3j:1.31%, AL_3_AB369689:1.02%, AL_3b:1.00%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094218	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:95.69%, AL_3j:1.70%, AL_3_AB369689:1.32%, AL_3b:1.29%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094219	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:41.96%, AL_4f:18.76%, AL_4h:13.54%, AL_4g:7.15%, AL_4_AB369688:5.85%, AL_4e:3.11%, AL_4a:2.92%, AL_4i:2.81%, AL_4b:2.64%, AL_4d:1.27%	-	-	-
ncbi-hev/AB094220	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:46.11%, AL_4f:17.63%, AL_4h:12.15%, AL_4g:6.70%, AL_4_AB369688:5.49%, AL_4e:2.92%, AL_4a:2.73%, AL_4i:2.63%, AL_4b:2.47%, AL_4d:1.17%	-	-	-
ncbi-hev/AB094221	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:46.11%, AL_4f:17.63%, AL_4h:12.15%, AL_4g:6.70%, AL_4_AB369688:5.49%, AL_4e:2.92%, AL_4a:2.73%, AL_4i:2.63%, AL_4b:2.47%, AL_4d:1.17%	-	-	-
ncbi-hev/AB094222	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:46.11%, AL_4f:17.63%, AL_4h:12.15%, AL_4g:6.70%, AL_4_AB369688:5.49%, AL_4e:2.92%, AL_4a:2.73%, AL_4i:2.63%, AL_4b:2.47%, AL_4d:1.17%	-	-	-
ncbi-hev/AB094223	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:46.11%, AL_4f:17.63%, AL_4h:12.15%, AL_4g:6.70%, AL_4_AB369688:5.49%, AL_4e:2.92%, AL_4a:2.73%, AL_4i:2.63%, AL_4b:2.47%, AL_4d:1.17%	-	-	-
ncbi-hev/AB094224	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:46.11%, AL_4f:17.63%, AL_4h:12.15%, AL_4g:6.70%, AL_4_AB369688:5.49%, AL_4e:2.92%, AL_4a:2.73%, AL_4i:2.63%, AL_4b:2.47%, AL_4d:1.17%	-	-	-
ncbi-hev/AB094225	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:46.11%, AL_4f:17.63%, AL_4h:12.15%, AL_4g:6.70%, AL_4_AB369688:5.49%, AL_4e:2.92%, AL_4a:2.73%, AL_4i:2.63%, AL_4b:2.47%, AL_4d:1.17%	-	-	-
ncbi-hev/AB094226	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094227	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094228	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094229	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094230	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094231	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094232	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094233	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094234	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094235	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094236	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094237	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:100.00%, AL_3_AB290313:0.00%, AL_3f:0.00%, AL_3_KJ873911:0.00%, AL_3_EU360977:0.00%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094238	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:88.80%, AL_3j:4.41%, AL_3_AB369689:3.43%, AL_3b:3.36%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094239	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:88.80%, AL_3j:4.41%, AL_3_AB369689:3.43%, AL_3b:3.36%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094240	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:78.18%, AL_3j:8.67%, AL_3_AB369689:6.64%, AL_3b:6.51%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094241	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:78.79%, AL_3j:7.99%, AL_3_AB369689:6.07%, AL_3b:5.95%, AL_3i:1.18%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094242	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:78.91%, AL_3j:7.96%, AL_3_AB369689:6.04%, AL_3b:5.92%, AL_3i:1.17%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094243	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:78.62%, AL_3j:8.50%, AL_3_AB369689:6.50%, AL_3b:6.38%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094244	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:78.62%, AL_3j:8.50%, AL_3_AB369689:6.50%, AL_3b:6.38%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094245	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:78.62%, AL_3j:8.50%, AL_3_AB369689:6.50%, AL_3b:6.38%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094246	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:78.62%, AL_3j:8.50%, AL_3_AB369689:6.50%, AL_3b:6.38%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094247	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:78.62%, AL_3j:8.50%, AL_3_AB369689:6.50%, AL_3b:6.38%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094248	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:77.48%, AL_3j:8.91%, AL_3_AB369689:6.87%, AL_3b:6.74%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094249	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:77.28%, AL_3j:8.58%, AL_3_AB369689:6.51%, AL_3b:6.38%, AL_3i:1.26%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094250	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:97.82%, AL_3_AB290313:0.61%, AL_3f:0.87%, AL_3_KJ873911:0.35%, AL_3_EU360977:0.35%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094251	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:97.82%, AL_3_AB290313:0.61%, AL_3f:0.87%, AL_3_KJ873911:0.35%, AL_3_EU360977:0.35%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094252	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:97.52%, AL_3_AB290313:0.68%, AL_3f:0.99%, AL_3_KJ873911:0.41%, AL_3_EU360977:0.40%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094253	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:98.10%, AL_3_AB290313:0.53%, AL_3f:0.75%, AL_3_KJ873911:0.31%, AL_3_EU360977:0.30%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB094254	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:47.82%, AL_4f:17.03%, AL_4h:12.27%, AL_4g:6.67%, AL_4_AB369688:5.49%, AL_4e:2.96%, AL_4a:2.78%, AL_4i:2.68%, AL_4b:1.19%, AL_4d:1.10%	-	-	-
ncbi-hev/AB094255	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:46.14%, AL_4f:18.93%, AL_4h:13.03%, AL_4g:7.33%, AL_4_AB369688:6.05%, AL_4e:3.28%, AL_4a:1.60%, AL_4i:1.54%, AL_4b:1.45%, AL_4d:0.63%	-	-	-
ncbi-hev/AB094256	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:38.46%, AL_3a:19.89%, AL_3_AB369689:24.54%, AL_3j:13.29%, AL_3i:3.39%, AL_3h:0.22%, AL_3_AB290312:0.21%	-	-	-
ncbi-hev/AB094257	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:40.33%, AL_3a:18.82%, AL_3_AB369689:23.87%, AL_3j:12.21%, AL_3i:3.08%, AL_3h:0.85%, AL_3_AB290312:0.83%	-	-	-
ncbi-hev/AB094258	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:39.22%, AL_3a:19.47%, AL_3_AB369689:24.73%, AL_3j:12.79%, AL_3i:3.36%, AL_3h:0.22%, AL_3_AB290312:0.21%	-	-	-
ncbi-hev/AB094259	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:52.86%, AL_3a:16.67%, AL_3b:16.20%, AL_3j:10.99%, AL_3i:3.28%	-	-	-
ncbi-hev/AB094260	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:39.22%, AL_3a:19.47%, AL_3_AB369689:24.73%, AL_3j:12.79%, AL_3i:3.36%, AL_3h:0.22%, AL_3_AB290312:0.21%	-	-	-
ncbi-hev/AB094261	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:39.22%, AL_3a:19.47%, AL_3_AB369689:24.73%, AL_3j:12.79%, AL_3i:3.36%, AL_3h:0.22%, AL_3_AB290312:0.21%	-	-	-
ncbi-hev/AB094262	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:39.22%, AL_3a:19.47%, AL_3_AB369689:24.73%, AL_3j:12.79%, AL_3i:3.36%, AL_3h:0.22%, AL_3_AB290312:0.21%	-	-	-
ncbi-hev/AB094263	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:60.00%, AL_3a:14.41%, AL_3b:13.04%, AL_3j:9.60%, AL_3i:2.96%	-	-	-
ncbi-hev/AB094264	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:52.27%, AL_3a:16.89%, AL_3b:16.39%, AL_3j:11.13%, AL_3i:3.32%	-	-	-
ncbi-hev/AB094265	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:51.74%, AL_3a:17.03%, AL_3b:16.52%, AL_3j:11.30%, AL_3i:3.43%	-	-	-
ncbi-hev/AB094266	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:51.74%, AL_3a:17.03%, AL_3b:16.52%, AL_3j:11.30%, AL_3i:3.43%	-	-	-
ncbi-hev/AB094267	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:83.40%, AL_3j:6.15%, AL_3_AB369689:4.46%, AL_3b:4.36%, AL_3i:0.70%, AL_3h:0.47%, AL_3_AB290312:0.46%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094268	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:81.44%, AL_3j:6.99%, AL_3_AB369689:5.13%, AL_3b:5.02%, AL_3i:0.85%, AL_3h:0.57%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094269	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:81.44%, AL_3j:6.99%, AL_3_AB369689:5.13%, AL_3b:5.02%, AL_3i:0.85%, AL_3h:0.57%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094270	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:81.44%, AL_3j:6.99%, AL_3_AB369689:5.13%, AL_3b:5.02%, AL_3i:0.85%, AL_3h:0.57%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094271	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:84.65%, AL_3j:5.84%, AL_3_AB369689:4.39%, AL_3b:4.30%, AL_3i:0.82%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094272	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:87.51%, AL_3j:4.73%, AL_3_AB369689:3.58%, AL_3b:3.50%, AL_3i:0.68%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094273	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:87.51%, AL_3j:4.73%, AL_3_AB369689:3.58%, AL_3b:3.50%, AL_3i:0.68%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094274	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:87.51%, AL_3j:4.73%, AL_3_AB369689:3.58%, AL_3b:3.50%, AL_3i:0.68%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB094275	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:76.48%, AL_3a:8.97%, AL_3_AB369689:8.34%, AL_3j:6.20%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB094276	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:78.19%, AL_3a:7.86%, AL_3_AB369689:7.26%, AL_3j:5.26%, AL_3i:1.43%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB094277	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:77.50%, AL_3a:8.62%, AL_3_AB369689:7.99%, AL_3j:5.89%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB094278	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:77.50%, AL_3a:8.62%, AL_3_AB369689:7.99%, AL_3j:5.89%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB094279	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:34.59%, AL_3a:20.83%, AL_3_AB369689:22.64%, AL_3j:13.21%, AL_3i:3.47%, AL_3h:2.26%, AL_3_AB290312:2.22%, AL_3_JQ953664:0.46%, AL_3c:0.30%	-	-	-
ncbi-hev/AB094280	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:34.59%, AL_3a:20.83%, AL_3_AB369689:22.64%, AL_3j:13.21%, AL_3i:3.47%, AL_3h:2.26%, AL_3_AB290312:2.22%, AL_3_JQ953664:0.46%, AL_3c:0.30%	-	-	-
ncbi-hev/AB094281	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:34.59%, AL_3a:20.83%, AL_3_AB369689:22.64%, AL_3j:13.21%, AL_3i:3.47%, AL_3h:2.26%, AL_3_AB290312:2.22%, AL_3_JQ953664:0.46%, AL_3c:0.30%	-	-	-
ncbi-hev/AB094282	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:34.59%, AL_3a:20.83%, AL_3_AB369689:22.64%, AL_3j:13.21%, AL_3i:3.47%, AL_3h:2.26%, AL_3_AB290312:2.22%, AL_3_JQ953664:0.46%, AL_3c:0.30%	-	-	-
